cycle,total_co2,animal_fr,control_co2,control_fr,delta_co2,VCO2_ml_min,file,temp,stress,date,line
0,0.030446262,48.73303252,0.004334359,49.08822496,1.270972683,0.012709727,24cNS-Feb24_0000,24,NS,24-Feb,2
1,0.020981096,48.74173386,0.005068605,49.08124284,0.773881588,0.007738816,24cNS-Feb24_0000,24,NS,24-Feb,3
2,0.012513682,48.7316099,0.00509708,49.0691064,0.359702719,0.003597027,24cNS-Feb24_0000,24,NS,24-Feb,5
0,0.012847794,48.60334606,0.00307449,48.57904426,0.47508998,0.0047509,24cNS-Mar10_0001,24,NS,10-Mar,2
1,0.008311812,48.65130456,0.003108661,48.60337081,0.253289091,0.002532891,24cNS-Mar10_0001,24,NS,10-Mar,3
2,0.010957282,48.59239762,0.002681795,48.58652439,0.402141544,0.004021415,24cNS-Mar10_0001,24,NS,10-Mar,5
0,0.002870035,49.14497855,0.00130573,49.0675115,0.076978885,0.000769789,24cNS-May19_0001,24,NS,19-May,2
1,0.004388889,49.18149033,0.001610442,49.13382348,0.136724971,0.00136725,24cNS-May19_0001,24,NS,19-May,3
2,0.029553116,49.16291627,0.001575541,49.1204209,1.375526154,0.013755262,24cNS-May19_0001,24,NS,19-May,5
3,0.003361016,49.15058533,0.00166385,49.07019352,0.083550463,0.000835505,24cNS-May19_0001,24,NS,19-May,6
4,0.010018994,49.22444902,0.001833156,49.11855213,0.403137469,0.004031375,24cNS-May19_0001,24,NS,19-May,7
5,0.014933622,49.31350154,0.00177082,49.19273572,0.64931774,0.006493177,24cNS-May19_0001,24,NS,19-May,8
0,0.043764234,49.14098301,0.002033848,49.05990422,2.050837093,0.020508371,24cNS-May20_0001,24,NS,20-May,2
1,0.004594802,49.14724702,0.002253379,49.07752069,0.115231609,0.001152316,24cNS-May20_0001,24,NS,20-May,3
2,0.004542892,49.14058801,0.00243311,49.05884147,0.103874783,0.001038748,24cNS-May20_0001,24,NS,20-May,5
3,0.008746892,49.15964151,0.002203448,49.05760087,0.321898201,0.003218982,24cNS-May20_0001,24,NS,20-May,6
4,0.007206693,49.14993694,0.001966169,49.07397434,0.257720809,0.002577208,24cNS-May20_0001,24,NS,20-May,7
5,0.112335138,49.24137125,0.002227911,49.08123663,5.422187605,0.054221876,24cNS-May20_0001,24,NS,20-May,8
0,0.002514,49.18901216,0.000960415,49.26294676,0.076348274,0.000763483,24cNS-May24_0001,24,NS,24-May,2
1,0.002237392,49.24286691,0.001347803,49.40847074,0.043582741,0.000435827,24cNS-May24_0001,24,NS,24-May,3
2,0.003041727,49.12621144,0.000996891,49.34185145,0.100240077,0.001002401,24cNS-May24_0001,24,NS,24-May,5
3,0.002698247,49.12172514,0.00093423,49.04020904,0.08672769,0.000867277,24cNS-May24_0001,24,NS,24-May,6
4,0.004725626,49.1774277,0.001208779,49.28565363,0.172818672,0.001728187,24cNS-May24_0001,24,NS,24-May,7
5,0.009712591,49.16407872,0.00105036,49.37979922,0.425644034,0.00425644,24cNS-May24_0001,24,NS,24-May,8
0,0.003635833,49.22164568,0.000310179,49.41271929,0.16363489,0.001636349,34cNS-Aug12_0001,34,NS,12-Aug,2
1,0.014056286,49.19748337,0.000433715,49.40680694,0.670105434,0.006701054,34cNS-Aug12_0001,34,NS,12-Aug,3
2,-1.604356107,49.20808221,0.000207213,49.41047032,-78.95752572,-0.789575257,34cNS-Aug12_0001,34,NS,12-Aug,5
3,0.012066889,49.20741483,8.22E-05,49.41689442,0.589717201,0.005897172,34cNS-Aug12_0001,34,NS,12-Aug,6
4,0.012363703,49.28469505,0.000947325,49.51642537,0.562433223,0.005624332,34cNS-Aug12_0001,34,NS,12-Aug,7
5,0.015976108,49.3367175,0.001256394,49.4394892,0.726093251,0.007260933,34cNS-Aug12_0001,34,NS,12-Aug,8
0,0.025827889,49.24088764,0.012364315,49.08032528,0.664943553,0.006649436,34cNS-Aug16_0001,34,NS,16-Aug,2
1,0.091398815,49.11714332,0.013385452,49.04983182,3.832694492,0.038326945,34cNS-Aug16_0001,34,NS,16-Aug,3
2,0.108036298,49.00932003,0.01328075,48.92746734,4.644992064,0.046449921,34cNS-Aug16_0001,34,NS,16-Aug,5
3,0.268724915,48.94953391,0.013781171,48.98221119,12.47892711,0.124789271,34cNS-Aug16_0001,34,NS,16-Aug,6
0,0.234901098,49.2385644,0.012510132,49.11063098,10.95181236,0.109518124,34cNS-Aug16_0002,34,NS,16-Aug,2
1,0.312032345,49.27747942,0.013781516,49.04070381,14.70031223,0.147003122,34cNS-Aug16_0002,34,NS,16-Aug,3
2,0.015832682,49.11492149,0.014794886,49.08633309,0.051394241,0.000513942,34cNS-Aug16_0002,34,NS,16-Aug,5
0,0.010763175,48.54025371,0.003127254,48.60959965,0.370432686,0.003704327,34cNS-Mar12_0001,34,NS,12-Mar,2
1,0.015270098,48.52254483,0.004169007,48.77960187,0.537581524,0.005375815,34cNS-Mar12_0001,34,NS,12-Mar,3
2,0.010556868,48.55944753,0.004647164,48.65250238,0.286539536,0.002865395,34cNS-Mar12_0001,34,NS,12-Mar,5
3,0.027824578,48.55871555,0.004790914,48.74190902,1.11760749,0.011176075,34cNS-Mar12_0001,34,NS,12-Mar,6
0,0.007945629,49.40848123,0.002732007,49.57869849,0.257132076,0.002571321,34cNS-May2_0001,34,NS,02-May,2
1,0.0142204,49.44288856,0.003242378,49.62805217,0.54218477,0.005421848,34cNS-May2_0001,34,NS,02-May,3
