,Estimate,SE Est.,T value,p value,Intercept,R squared
MSMR ~ mass,-0.351,0.165,,,-4.042633376792559,0.6334596806145141
MSMR ~ Temp,0.129,0.015,,,,
Cort ~ mass,-0.344,0.152,,,-0.3409986033448079,0.6441968832031043
Cort ~ Temp,0.127,0.015,,,,
Cort ~ MSMR,0.638,0.15,,,3.014587596553725,0.4196941305441679
